Code zone,Code Produit,Code année,Emission indirecte de NO2
19,5061,2019,0.0826
19,5062,2015,0.6359
19,5062,2016,0.6487
19,5062,2017,0.6825
19,5062,2018,0.69
19,5062,2019,0.7082
19,5063,2015,4.034
19,5063,2016,4.0847
19,5063,2017,4.1425
19,5063,2018,4.218
19,5063,2019,4.2797
19,5064,2015,0.2847
19,5064,2016,0.2802
19,5064,2017,0.249
19,5064,2018,0.2942
19,5064,2019,0.2882
80,5061,2015,0.5727
80,5061,2016,0.4421
80,5061,2017,0.4554
80,5061,2018,0.3547
80,5061,2019,0.4174
80,5062,2015,0.2148
80,5062,2016,0.2117
80,5062,2017,0.2108
80,5062,2018,0.2083
80,5062,2019,0.2056
80,5063,2015,0.1595
80,5063,2016,0.1591
80,5063,2017,0.1574
80,5063,2018,0.1559
80,5063,2019,0.1544
80,5064,2015,0.0422
80,5064,2016,0.057999999999999996
80,5064,2017,0.0442
80,5064,2018,0.06
80,5064,2019,0.0574
20,5061,2015,0.10800000000000001
20,5061,2016,0.10800000000000001
20,5061,2017,0.10800000000000001
20,5061,2018,0.10800000000000001
20,5061,2019,0.10800000000000001
20,5062,2015,0.0192
20,5062,2016,0.0179
20,5062,2017,0.0135
20,5062,2018,0.0138
20,5062,2019,0.0139
20,5063,2015,0.6445
20,5063,2016,0.5968
20,5063,2017,0.4611
20,5063,2018,0.4731
20,5063,2019,0.4755
20,5064,2015,0.0022
20,5064,2016,0.0029
20,5064,2017,0.002
20,5064,2018,0.0053
20,5064,2019,0.0028
21,5061,2015,17.8863
21,5061,2016,22.2299
21,5061,2017,26.4178
21,5061,2018,26.1473
21,5061,2019,24.9316
21,5062,2015,11.425999999999998
21,5062,2016,11.1593
21,5062,2017,10.7047
21,5062,2018,10.6375
21,5062,2019,10.5702
21,5063,2015,61.2612
21,5063,2016,62.2587
21,5063,2017,61.7549
21,5063,2018,61.6703
21,5063,2019,62.0641
21,5064,2015,7.8246
21,5064,2016,7.2355
21,5064,2017,8.7405
21,5064,2018,8.4784
21,5064,2019,8.8915
26,5061,2015,0.0012
26,5061,2016,0.0012
26,5061,2017,0.0012
26,5061,2018,0.0012
