Code Produit,Code année,Emission de ch4,Emission de CO2,Emission de N2O,Emission indirecte de NO2
5059,2018,86.69200000000001,,,
5059,2019,87.3011,,,
5060,2015,1131.2934,,,
5060,2016,1093.4804,,,
5060,2017,1154.531,,,
5060,2018,1144.5910000000001,,,
5060,2019,1144.7454,,,
5066,2015,18.4342,,,
5066,2016,17.8936,,,
5066,2017,18.9111,,,
5066,2018,18.7186,,,
5066,2019,18.8029,,,
6795,2015,0.21100000000000002,,,
6795,2016,0.0771,,,
6795,2017,0.019,,,
6795,2018,0.2457,,,
6795,2019,0.2455,,,
6992,2015,0.6089,,,
6992,2016,0.2577,,,
6992,2017,0.054000000000000006,,,
6992,2018,0.8146,,,
6992,2019,0.4073,,,
69921,2015,0.6089,,,
69921,2016,0.2577,,,
69921,2017,0.054000000000000006,,,
69921,2018,0.8146,,,
69921,2019,0.4073,,,
6993,2015,9.0167,730.3507,,
6993,2016,2.7621,223.7326,,
6993,2017,1.4764,119.5908,,
6993,2018,1.0477,84.8635,,
6993,2019,0.0318,2.5721,,
6994,2015,1.1087,3183.4412,,
6994,2016,0.7023,3232.1346,,
6994,2017,0.7363,3568.6363,,
6994,2018,0.6776,3677.8851,,
6994,2019,0.6929,3745.6542,,
5058,2015,0.8443,,,
5058,2016,0.8447,,,
5058,2017,0.8512,,,
5058,2018,0.8548,,,
5058,2019,0.8585,,,
5059,2015,0.1482,,,
5059,2016,0.1606,,,
5059,2017,0.1606,,,
5059,2018,0.1541,,,
5059,2019,0.1557,,,
5066,2015,0.0056,,,
5066,2016,0.0031,,,
5066,2017,0.0049,,,
5066,2018,0.0052,,,
5066,2019,0.0052,,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.0052,11.1766,,
6994,2016,0.0051,11.2044,,
6994,2017,0.0049,11.3062,,
6994,2018,0.0046,11.4131,,
6994,2019,0.0043,10.3894,,
5058,2015,321.7108,,,
5058,2016,317.7241,,,
5058,2017,321.2175,,,
5058,2018,319.2886,,,
5058,2019,316.5092,,,
5059,2015,51.9711,,,
5059,2016,50.9562,,,
5059,2017,51.2101,,,
5059,2018,50.0731,,,
5059,2019,49.403999999999996,,,
5066,2015,0.9274,,,
5066,2016,1.1026,,,
5066,2017,1.1265,,,
5066,2018,1.1841,,,
5066,2019,1.263,,,
6795,2015,0.5739,,,
6795,2016,0.0449,,,
6795,2017,0.0189,,,
6795,2018,0.2778,,,
6795,2019,0.1489,,,
6992,2015,0.3922,,,
6992,2016,0.1574,,,
6992,2017,0.01,,,
6992,2018,1.0674,,,
6992,2019,0.2298,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,9.4789,1397.6175,,
6993,2016,0.2778,40.9627,,
6993,2017,0.3969,58.5157,,
6993,2018,4.6348,683.3788,,
6993,2019,2.5384,374.2738,,
6994,2015,0.4383,2178.469,,
6994,2016,0.4129,2190.5541,,
6994,2017,0.4381,2454.1307,,
6994,2018,0.4334,2591.7981,,
6994,2019,0.4259,2662.8143,,
5058,2015,185.5522,,,
5058,2016,185.1259,,,
5058,2017,177.8557,,,
5058,2018,179.3048,,,
5058,2019,178.217,,,
5059,2015,65.5128,,,
5059,2016,64.3248,,,
5059,2017,62.8009,,,
5059,2018,64.0885,,,
5059,2019,63.1046,,,
5066,2015,0.3754,,,
5066,2016,0.3634,,,
5066,2017,0.3457,,,
5066,2018,0.3571,,,
5066,2019,0.3514,,,
6795,2016,0.001,,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.2265,1518.4296,,
6994,2016,0.2357,1655.2749,,
6994,2017,0.2423,1727.9681,,
6994,2018,0.2424,1710.6473,,
6994,2019,0.2443,1741.1926,,
5058,2015,5.7538,,,
5058,2016,6.3717,,,
5058,2017,6.6966,,,
5058,2018,6.8676,,,
5058,2019,7.0753,,,
5059,2015,0.1711,,,
5059,2016,0.1822,,,
5059,2017,0.1893,,,
5059,2018,0.1937,,,
5059,2019,0.1983,,,
5060,2015,0.0836,,,
5060,2016,0.095,,,
5060,2017,0.1112,,,
5060,2018,0.0761,,,
5060,2019,0.0677,,,
5066,2015,0.1114,,,
5066,2016,0.1243,,,
5066,2017,0.1243,,,
5066,2018,0.1244,,,
5066,2019,0.1316,,,
6795,2015,0.3078,,,
6795,2016,0.2986,,,
6795,2017,0.2622,,,
6795,2018,0.2135,,,
6795,2019,0.4635,,,
6992,2015,0.8514,,,
6992,2016,0.7123,,,
6992,2017,1.5242,,,
6992,2018,0.4111,,,
6992,2019,1.2812,,,
69921,2015,0.8514,,,
69921,2016,0.7123,,,
69921,2017,1.5242,,,
69921,2018,0.4111,,,
69921,2019,1.2812,,,
6993,2015,17.0424,1381.111,,
6993,2016,14.3172,1160.5395,,
6993,2017,7.2442,587.6246,,
6993,2018,14.3072,1159.0538,,
6993,2019,25.096,2033.2823,,
6994,2015,0.009000000000000001,81.1156,,
6994,2016,0.0081,78.2691,,
6994,2017,0.006999999999999999,71.1565,,
6994,2018,0.006,62.8596,,
6994,2019,0.0058,61.7952,,
5058,2015,92.8355,,,
5058,2016,95.1919,,,
5058,2017,97.6256,,,
5058,2018,100.1043,,,
5058,2019,101.4404,,,
5059,2015,3.943,,,
5059,2016,4.0543,,,
5059,2017,4.1706,,,
5059,2018,4.2887,,,
5059,2019,4.3792,,,
5060,2015,1.8285,,,
5060,2016,2.3058,,,
5060,2017,2.2111,,,
5060,2018,3.7852,,,
5060,2019,3.1841,,,
5066,2015,2.8082,,,
5066,2016,2.8243,,,
5066,2017,3.0896,,,
5066,2018,3.3279,,,
5066,2019,2.8701,,,
6795,2015,12.4817,,,
6795,2016,14.4387,,,
6795,2017,12.0025,,,
6795,2018,10.7692,,,
6795,2019,12.5485,,,
6992,2015,0.2095,,,
6992,2016,0.2282,,,
6992,2017,0.6349,,,
6992,2018,0.5664,,,
6992,2019,1.0955,,,
69921,2015,0.2095,,,
69921,2016,0.2282,,,
69921,2017,0.6349,,,
