Code Produit,Code année,Emission de N2O,Emission indirecte de NO2
5063,2016,2.5044,0.536
5063,2017,2.4832,0.5315
5063,2018,2.4465,0.5238
5063,2019,2.4292,0.5201
5064,2015,2.0844,0.469
5064,2016,2.2363,0.5032
5064,2017,2.3461,0.5279
5064,2018,2.4656,0.5548
5064,2019,2.4683,0.5554
5061,2015,0.6682,0.2172
5061,2016,0.6248,0.2031
5061,2017,0.7302,0.2373
5061,2018,0.7309,0.2375
5061,2019,0.6953,0.226
5062,2015,0.589,0.2503
5062,2016,0.596,0.2533
5062,2017,0.5988,0.2545
5062,2018,0.6073,0.2581
5062,2019,0.6163,0.2619
5063,2015,9.8751,2.5109
5063,2016,9.5392,2.4405
5063,2017,9.5136,2.4326
5063,2018,9.5435,2.4417
5063,2019,9.5772,2.4516
5064,2015,0.7679,0.1728
5064,2016,0.8128,0.1829
5064,2017,0.7935,0.1785
5064,2018,0.8294,0.1866
5064,2019,0.8433,0.1897
5061,2015,40.5586,13.1815
5061,2016,38.6729,12.5687
5061,2017,38.83,12.6197
5061,2018,43.5129,14.1417
5061,2019,40.3386,13.11
5062,2015,3.7085,1.5761
5062,2016,3.7532,1.5951
5062,2017,3.7736,1.6038
5062,2018,3.8193,1.6232
5062,2019,3.8403,1.6321
5063,2015,12.7199,2.7725
5063,2016,12.6862,2.7649
5063,2017,12.6001,2.7465
5063,2018,12.6141,2.7499
5063,2019,12.5367,2.7335
5064,2015,11.0226,2.4801
5064,2016,11.9407,2.6867
5064,2017,11.8249,2.6606
5064,2018,12.1201,2.727
5064,2019,12.3484,2.7784
5061,2015,5.1694,1.6801
5061,2016,4.1435,1.3467
5061,2017,4.1435,1.3467
5061,2018,4.1435,1.3467
5061,2019,4.1435,1.3467
5062,2015,1.8695,0.7946
5062,2016,1.8384,0.7813
5062,2017,1.6707,0.7101
5062,2018,1.8338,0.7794
5062,2019,1.8282,0.777
5063,2015,5.0424,1.2219
5063,2016,5.124,1.2401
5063,2017,5.2285,1.2559
5063,2018,5.2532,1.2645
5063,2019,5.7026,1.3598
5064,2015,0.615,0.1384
5064,2016,0.6517,0.1466
5064,2017,0.5854,0.1317
5064,2018,0.6067,0.1365
5064,2019,0.5521,0.1242
5061,2015,486.4418,158.0936
5061,2016,480.0727,156.0236
5061,2017,466.8383,151.7225
5061,2018,444.8146,144.5647
5061,2019,463.9086,150.7703
5062,2015,76.1772,32.3753
5062,2016,77.6139,32.9859
5062,2017,75.6679,32.1589
5062,2018,73.7474,31.3426
5062,2019,68.1919,28.9816
5063,2015,158.1609,46.6423
5063,2016,162.216,47.7541
5063,2017,157.86,46.2836
5063,2018,159.7685,46.474
5063,2019,161.5406,47.0249
5064,2015,102.4598,23.0535
5064,2016,102.2248,23.0006
5064,2017,102.8332,23.1375
5064,2018,101.9704,22.9433
5064,2019,102.3474,23.0282
5061,2015,0.1105,0.0359
5061,2016,0.1165,0.0379
